Feature,Importance
Bit 701,0.001042337699900637
Bit 109,0.001042087867329698
Bit 1985,0.0010401176346399815
Bit 43,0.0010395216644831285
Bit 1028,0.0010391593389885128
Bit 2024,0.0010381380185562215
Bit 298,0.0010372161430002235
Bit 117,0.0010370571876529414
Bit 38,0.0010349872953310463
Bit 1385,0.0010336432778238033
Bit 1855,0.0010295303138788418
Bit 523,0.0010282302162277802
Bit 781,0.001027930395550653
Bit 703,0.0010223227914290343
Bit 1487,0.0010186709841284696
Bit 1586,0.0010170336434550955
Bit 1634,0.0010075545993227858
Bit 1189,0.0010074566442743681
Bit 957,0.0010050176371882982
Bit 1482,0.00100228236721801
Bit 1243,0.000998755151581283
Bit 674,0.00099602636108136
Bit 80,0.0009948606737740797
Bit 158,0.0009942125938841235
Bit 45,0.0009926183810187836
Bit 387,0.000988600551928064
Bit 1765,0.0009840274004783041
Bit 1311,0.0009826788536211038
Bit 74,0.0009745700149591036
Bit 368,0.0009744110108614383
Bit 1683,0.000972844835308622
Bit 211,0.0009719233097539638
Bit 1157,0.0009705162978140389
Bit 843,0.0009702304446210187
Bit 609,0.0009690717923418365
Bit 1790,0.0009686385513660899
Bit 1581,0.0009607267342364419
Bit 1604,0.0009593867836868937
Bit 1947,0.0009562057359132492
Bit 305,0.0009542788996351349
Bit 1827,0.0009515879078746429
Bit 1088,0.0009502693336467141
Bit 2047,0.0009485743184450425
Bit 1114,0.000948566362306765
Bit 1542,0.0009448421793557982
Bit 1261,0.0009415362088957177
Bit 1823,0.0009388018249067324
Bit 1141,0.0009367219387979718
Bit 491,0.0009362734940849844
Bit 1825,0.0009359850908375397
Bit 1476,0.0009355692866712912
Bit 1697,0.0009354622313427518
Bit 955,0.0009326761294358132
Bit 1031,0.0009305070652535714
Bit 1625,0.000926679848164598
Bit 394,0.0009259035903863019
Bit 1923,0.0009248978668116233
Bit 1410,0.0009230785783968726
Bit 1039,0.0009226442648619526
Bit 248,0.0009217848648873122
Bit 115,0.0009165729697638039
Bit 329,0.0009146747484698973
Bit 430,0.0009125523206423572
Bit 1748,0.0009117950333359699
Bit 1897,0.0009110236466343081
Bit 1091,0.0009104809085229852
Bit 486,0.000910354346136785
Bit 1305,0.0009096422187491803
Bit 720,0.0009064812562533223
Bit 1422,0.0009055237352360482
Bit 1360,0.0008980454440848011
Bit 890,0.000890795300793256
Bit 193,0.000887735678872316
Bit 90,0.0008875457114722948
Bit 2034,0.0008871410914043662
Bit 1268,0.0008837769304535711
Bit 132,0.0008811908246949917
Bit 294,0.0008808764222339935
Bit 191,0.0008802862954864877
Bit 461,0.00087738111060648
Bit 950,0.0008767776014915478
Bit 1480,0.0008716447267921579
Bit 1645,0.0008685844760696178
Bit 598,0.0008667889200836377
Bit 984,0.0008657323191922895
Bit 1948,0.0008607023961821322
Bit 1349,0.0008605244052399644
Bit 561,0.0008589735466619667
Bit 1680,0.0008586281576864204
Bit 1363,0.0008541377823706341
Bit 118,0.0008509748360353304
Bit 881,0.0008503532735689364
Bit 233,0.0008463065071108328
Bit 642,0.0008443435774722186
Bit 11,0.0008422198719188401
Bit 147,0.0008411456388016391
Bit 1563,0.0008400956276908932
Bit 1389,0.0008400448556914896
Bit 350,0.0008392454049379697
Bit 507,0.0008389903712625735
Bit 1738,0.0008336654664724922
Bit 914,0.0008317702667200772
Bit 1455,0.0008316493183030419
Bit 1321,0.0008311632994831552
Bit 1238,0.0008297051793923056
Bit 1294,0.000828054365010586
Bit 456,0.0008272599459969446
Bit 366,0.0008271439105120577
Bit 1766,0.0008265967700013672
Bit 1911,0.000824828629179981
Bit 1066,0.0008243072127888669
Bit 1700,0.000819961420638733
Bit 41,0.0008128903877202435
Bit 1296,0.0008118400334654114
Bit 1920,0.0008115642299161167
Bit 1728,0.000810272786015105
Bit 731,0.0008092813754319673
Bit 1693,0.0008090322461787768
Bit 1405,0.0008086609617220941
Bit 582,0.0008074852360857091
Bit 617,0.0008071161982990919
Bit 1005,0.000804377565101663
Bit 542,0.0008008847199611175
Bit 227,0.0007995296146468993
Bit 1734,0.0007980109601362526
Bit 1928,0.0007955091871228732
Bit 1902,0.0007947439791079265
Bit 744,0.0007924457391720248
Bit 1010,0.0007900431797709187
Bit 322,0.0007878208500240967
Bit 1145,0.0007861323838775377
Bit 858,0.0007858766336456882
Bit 125,0.0007846178582880239
Bit 562,0.0007829490246949278
Bit 812,0.000782560998312481
Bit 1961,0.0007825101300934028
Bit 498,0.0007808478862184011
Bit 1524,0.0007804477148164727
Bit 1919,0.0007803643287161106
Bit 638,0.0007779468892652468
Bit 1274,0.0007778709371701097
Bit 1391,0.0007765565084454802
Bit 754,0.0007762560519672609
Bit 407,0.0007755193555331692
Bit 2040,0.0007754091291406977
Bit 1304,0.000774276461023563
Bit 1965,0.000773613501198991
Bit 913,0.0007721169877760473
Bit 1429,0.0007703049672696423
Bit 1164,0.0007702516096642483
Bit 221,0.0007702295065368115
Bit 1027,0.0007700670410405877
Bit 1873,0.0007699175622112826
Bit 902,0.0007698688125014597
Bit 1846,0.0007696273080573632
Bit 1969,0.0007695275119010333
Bit 1668,0.000767270631810248
Bit 1522,0.0007654133431158527
Bit 1968,0.0007645168793314832
Bit 940,0.0007643905284377486
Bit 699,0.0007628754778653564
Bit 1290,0.0007594546566040046
Bit 1308,0.0007567909452923062
Bit 1468,0.0007566864012011695
Bit 1318,0.0007562732491387561
Bit 473,0.0007560280472172771
Bit 1209,0.0007550501318363829
Bit 252,0.0007547781762624555
Bit 1647,0.000754379012132845
Bit 725,0.0007535250056934536
Bit 412,0.0007534085825211439
Bit 372,0.000753098971255634
Bit 42,0.0007521936447996721
Bit 736,0.0007493720933918403
Bit 654,0.0007488398017697451
Bit 1043,0.0007481159286106113
Bit 652,0.00074602611241902
Bit 723,0.0007457308295263727
Bit 849,0.0007448297411500742
Bit 1163,0.0007414498759144391
Bit 1221,0.0007407469588944923
Bit 281,0.0007405605600324421
Bit 1745,0.0007397365657770145
Bit 745,0.0007397317654447862
Bit 288,0.0007396121557505964
Bit 204,0.000732497045960776
Bit 1622,0.0007310014220762499
Bit 503,0.0007286139695160738
Bit 979,0.0007260073242974388
Bit 249,0.000725607467077228
Bit 1970,0.0007227319920703545
Bit 1632,0.0007223324002268253
Bit 687,0.0007209540283268463
Bit 821,0.0007196562609838933
Bit 675,0.0007177866168237569
Bit 689,0.0007162348205141314
Bit 13,0.0007162298967001987
Bit 1675,0.0007148957008063335
Bit 1611,0.0007141643066871601
Bit 1273,0.0007137431718490754
Bit 928,0.0007134115518981115
Bit 323,0.0007131562384328838
Bit 114,0.000709784565698414
Bit 623,0.0007091606761678596
Bit 2038,0.0007061240346515218
Bit 1256,0.0007051177339433642
Bit 29,0.0007050218041502681
Bit 636,0.0007043257257713382
Bit 1555,0.0007037158251183723
Bit 2012,0.0007036097883035078
Bit 446,0.000700455428876999
Bit 1162,0.0006999534815175463
Bit 1224,0.0006999345533751578
Bit 824,0.0006980160485729424
Bit 278,0.0006969859520004618
Bit 1567,0.0006961323931794339
Bit 162,0.0006959418045160026
Bit 941,0.0006959334644015816
Bit 2029,0.0006950494482517665
Bit 1049,0.0006944319653080433
Bit 796,0.0006941665279265941
Bit 1670,0.0006935885917271201
Bit 961,0.0006928393962375672
Bit 932,0.0006919665717754393
Bit 275,0.0006906166172484232
