Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Random Forest,0.7490445859872611,0.7383863080684596,0.7704081632653061,0.7540574282147317,0.8017052240743625
XGBoost,0.7248407643312101,0.7156862745098039,0.7448979591836735,0.7300000000000001,0.795963805369476
LightGBM,0.7184713375796178,0.7186700767263428,0.7168367346938775,0.7177522349936144,0.8033637118969725
