Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Random Forest,0.6267515923566879,0.6386554621848739,0.5816326530612245,0.6088117489986649,0.6697953990756609
LightGBM,0.597452229299363,0.6038251366120219,0.5637755102040817,0.58311345646438,0.6300014280521369
XGBoost,0.5898089171974522,0.598314606741573,0.5433673469387755,0.56951871657754,0.6505556421041699
