Murcko_scafold,count,source
c1ccc(Nc2ncnc3c2nc2n3CCCC2)cc1,21,RNA non-binders
c1ccc(-n2cccn2)cc1,21,RNA non-binders
c1ccc(Nc2nc(-c3ccccc3)cs2)cc1,20,RNA non-binders
O=c1[nH]c(=O)c2c(-c3ccccc3)[nH]cc2[nH]1,20,RNA non-binders
O=c1occc2c1[C@H](c1ccccc1)C=CO2,20,RNA non-binders
O=S1(=O)CC[C@@H](S(=O)(=O)c2ccccc2)C1,20,RNA non-binders
c1ccc(Nc2ccncn2)cc1,20,RNA non-binders
c1ccc(CNCCc2c[nH]c3ccccc23)cc1,20,RNA non-binders
c1c[nH]cn1,20,RNA non-binders
O=S(=O)(c1ccccc1)N1CCN(c2ccnc(NC3CCCCC3)n2)CC1,20,RNA non-binders
O=c1oc2ccccc2c2c1[C@H](c1ccccc1)C=CO2,19,RNA non-binders
C1CCCCC1,19,RNA non-binders
O=C1C[C@@H](c2nc3ccccc3n2CCCOc2ccccc2)CN1c1ccccc1,19,RNA non-binders
O=C1C[C@H](c2nc3ccccc3n2CCCOc2ccccc2)CN1c1ccccc1,19,RNA non-binders
O=S1(=O)N=C(NCc2ccccc2)C=C1c1ccccc1,19,RNA non-binders
c1ccc(Nc2c(-c3ccco3)nc3ccccn23)cc1,19,RNA non-binders
c1ccc(-c2ccc3ccccc3n2)cc1,19,RNA non-binders
c1ccc(CNc2nc3ncccn3n2)cc1,19,RNA non-binders
c1ccc(Nc2nc(-c3ccncc3)cs2)cc1,19,RNA non-binders
c1ccc(OCCCn2c[nH+]c3ccccc32)cc1,19,RNA non-binders
c1ccc(Nc2ncnc3sccc23)cc1,18,RNA non-binders
c1ccc(Nc2ncnc3c2nc2n3CCCCC2)cc1,18,RNA non-binders
O=c1cc[nH]c(=O)[nH]1,18,RNA non-binders
c1ccc(COc2ccccc2)cc1,18,RNA non-binders
c1ccc(CNCCC2(c3ccccc3)CCOCC2)cc1,18,RNA non-binders
O=C1C[C@H](Nc2ccccc2)C(=O)N1c1ccccc1,18,RNA non-binders
O=C(NCc1ccccc1)c1cn(Cc2ccccc2)nn1,18,RNA non-binders
O=C1CCCC2=C1[C@]1(C=CO2)C(=O)Nc2ccccc21,18,RNA non-binders
O=c1[nH]c2nc[nH]c2c(=O)n1Cc1ccccc1,18,RNA non-binders
O=S(=O)(c1ccccc1)N1CCN(c2ccnc(Nc3ccccc3)n2)CC1,18,RNA non-binders
c1ccc(-c2noc(-c3cccnc3)n2)cc1,18,RNA non-binders
O=C(c1ccccc1)c1cc2ccccc2o1,18,RNA non-binders
c1cnc2sccc2c1,17,RNA non-binders
c1ccc(Nc2nc(-c3cccnc3)cs2)cc1,17,RNA non-binders
O=S(=O)(c1ccccc1)N1CCN(c2cc(Nc3ccccc3)ncn2)CC1,17,RNA non-binders
c1ccc(Cn2ccc3ccccc32)cc1,17,RNA non-binders
c1ccc(CNc2ccccc2)cc1,17,RNA non-binders
c1ccsc1,17,RNA non-binders
O=S(=O)(c1ccccc1)N1CCN(c2ccncn2)CC1,17,RNA non-binders
c1ccc(-c2[nH]c3ccnn3c2NC2CCCCC2)cc1,17,RNA non-binders
O=C(Nc1ccccc1)c1ccccc1,17,RNA non-binders
c1ccc(-c2cn[nH]c2)cc1,16,RNA non-binders
O=C(c1ccccc1)N1CCCC1,16,RNA non-binders
O=S(=O)(c1ccccc1)c1nc(-c2ccccc2)oc1NC1CC1,16,RNA non-binders
O=C1c2ccccc2[C@@H](Nc2ccccc2)N1c1ccccc1,16,RNA non-binders
O=C(Nc1ccccc1)c1cccs1,16,RNA non-binders
c1ccc(-c2ncc3c(n2)Oc2cnccc2C3)cc1,16,RNA non-binders
c1ccc2c(c1)OCO2,16,RNA non-binders
O=C1c2ccccc2[C@@H](Nc2ccccc2)N1Cc1ccccc1,16,RNA non-binders
O=C(Nc1ccccc1)c1cnccn1,16,RNA non-binders
O=C(NCCNCc1ccccc1)c1cnon1,16,RNA non-binders
C1=NN2C(=NC(c3ccccc3)=C[C@H]2c2ccccc2)N1,16,RNA non-binders
c1ccc(-c2nnn3c2ncc2ccccc23)cc1,16,RNA non-binders
c1ccc(Cc2ccccc2)cc1,16,RNA non-binders
O=S(=O)(c1ccccc1)c1cnc2ccccc2c1NCc1ccccc1,15,RNA non-binders
c1ccc(Cc2nc3nccc(Nc4ccccc4)n3n2)cc1,15,RNA non-binders
c1ccc(CCNCc2c[nH]c3ccccc23)cc1,15,RNA non-binders
c1cscn1,15,RNA non-binders
c1ccc(Nc2c3c(nc4ccccc24)CCC3)cc1,15,RNA non-binders
O=C(c1ccccc1)N1CCCCC1,15,RNA non-binders
c1ccc(Cn2c(-c3cnon3)nc3ccccc32)cc1,15,RNA non-binders
N=c1[nH]c2c(s1)[C@@H](c1ccccc1)CC(=O)N2,15,RNA non-binders
c1ccc(Nc2nc3ccccc3nc2-n2cccn2)cc1,14,RNA non-binders
C1=C/C(=N/CCc2c[nH]c3ccccc23)CCC1,14,RNA non-binders
c1ccc(-c2nc3ccccc3o2)cc1,14,RNA non-binders
C1=C[C@@H](c2ccccc2)c2cc3c(cc2O1)OCO3,14,RNA non-binders
C=C1/C(=N/c2ccccc2)c2ccccc2S1(=O)=O,14,RNA non-binders
O=c1[nH]c2ccccc2c2c1[C@H](c1ccccc1)C=CO2,14,RNA non-binders
c1ccc(-c2ncc3ccccc3n2)cc1,14,RNA non-binders
c1ccc(-c2nnco2)cc1,14,RNA non-binders
c1cc2c(cn1)COCC2,14,RNA non-binders
c1ccc2ccccc2c1,13,RNA non-binders
O=S(=O)(c1ccc(-c2ncco2)cc1)N1CCCCC1,13,RNA non-binders
c1ccc(CCNCc2ccc(-c3ccccc3)o2)cc1,13,RNA non-binders
O=C(Cn1cc(C(=O)NCc2ccccc2)nn1)Nc1ccccc1,13,RNA non-binders
O=C(c1ccccc1)N1CCN(C(=O)c2cnon2)CC1,13,RNA non-binders
O=c1[nH]c(=O)c2c(nc3[nH]c(-c4ccccc4)cn32)[nH]1,13,RNA non-binders
O=c1oc2ccccc2cc1NS(=O)(=O)c1ccccc1,13,RNA non-binders
O=C1N[C@]2(C(=O)Nc3ccccc32)c2c1oc1ccccc1c2=O,13,RNA non-binders
O=C(Nc1ccccc1)c1csc2c1CCCC2,13,RNA non-binders
c1nc[nH]n1,13,RNA non-binders
c1ccc(CN2CCCCC2)cc1,13,RNA non-binders
C1=C/C(=N\c2ccccc2)CCC1,13,RNA non-binders
O=C(Nc1ccccc1)c1cc(C(=O)c2ccccc2)n2ccccc12,13,RNA non-binders
c1ccc2c(c1)[nH]c1ccccc12,13,RNA non-binders
O=C1CN(c2ccccc2)C=C1c1nccs1,13,RNA non-binders
c1ccc(-c2ccncc2)cc1,13,RNA non-binders
O=C(OCc1ccccc1)C1=COC=C[C@@]12C(=O)Nc1ccccc12,13,RNA non-binders
c1ccc(/N=c2\ccnc3nc[nH]n23)cc1,13,RNA non-binders
c1ccc(CNc2ccnc3nc(-c4cccnc4)nn23)cc1,13,RNA non-binders
O=C(Nc1ccccc1)Nc1ccccc1,13,RNA non-binders
O=C(Oc1ccn(S(=O)(=O)c2ccccc2)n1)c1ccccc1,12,RNA non-binders
O=C1CN(c2ccccc2)C=C1c1nc2ccccc2s1,12,RNA non-binders
c1ccc(Nc2nc(-c3ccccn3)cs2)cc1,12,RNA non-binders
c1ccc(NCc2nnc(-c3ccccc3)o2)cc1,12,RNA non-binders
O=S(=O)(c1ccccc1)c1cc[nH]c1,12,RNA non-binders
c1ccc(Nc2nc(-c3cncs3)cs2)cc1,12,RNA non-binders
c1ccc(Nc2c(-c3cccnc3)nc3ccccn23)cc1,12,RNA non-binders
O=C(Nc1ccccc1)N1CCCC1,12,RNA non-binders
O=C1Nc2ccccc2[C@@]12C=COc1n[nH]cc12,12,RNA non-binders
c1ccc(Nc2nc(-c3cnc4ccccn34)cs2)cc1,12,RNA non-binders
O=c1ccc(Oc2ncncn2)n[nH]1,12,RNA non-binders
O=S(=O)(c1ccccc1)c1cnc2ccccc2c1Nc1ccccc1,12,RNA non-binders
c1ncc2sc3nc4c(cc3c2n1)COCC4,12,RNA non-binders
c1ccc(Oc2ccccc2)cc1,12,RNA non-binders
O=c1c(NCc2ccccc2)c(-c2ccccc2)c1=O,12,RNA non-binders
c1ccc(-c2ncnn2-c2ccccc2)cc1,12,RNA non-binders
c1ccc(CNc2ccc(N3CCOCC3)cc2)cc1,12,RNA non-binders
c1ccc(Nc2ccccc2)cc1,12,RNA non-binders
O=S1(=O)C=C(Nc2ccccc2)c2ccccc21,11,RNA non-binders
O=S1(=O)CCCC1,11,RNA non-binders
c1cnc(Nc2ncc3ccccc3n2)nc1,11,RNA non-binders
O=C1Nc2ccccc2[C@@H]1Cc1nc2ccccc2c(=O)[nH]1,11,RNA non-binders
c1ccc(-c2ncon2)cc1,11,RNA non-binders
O=C(c1ccccc1)c1ccccc1,11,RNA non-binders
c1ccc(-c2cn(-c3ccccc3)c3ncncc23)cc1,11,RNA non-binders
C1CCNC1,11,RNA non-binders
c1ccc(Nc2ncccn2)cc1,11,RNA non-binders
O=c1sc2ccccc2c2c1[C@H](c1ccccc1)C=CO2,11,RNA non-binders
c1ccc(OCCCN2CCOCC2)cc1,11,RNA non-binders
O=c1[nH]c2ccc(COc3ccccc3)cc2[nH]1,11,RNA non-binders
c1ccc(NCc2nc(-c3ccccc3)no2)cc1,11,RNA non-binders
c1ccc(OCCCN2CCNCC2)cc1,11,RNA non-binders
O=c1cc(-c2ccccc2)oc2ccccc12,11,RNA non-binders
c1cncc(-c2nc3ncccn3n2)c1,11,RNA non-binders
O=S(=O)(Nc1ccccc1)c1ccccc1,11,RNA non-binders
O=C(c1ccccc1)n1ncc2cc3ccccc3nc21,11,RNA non-binders
O=S1(=O)C=Cc2ccccc21,11,RNA non-binders
c1ccc(N2CCN(CCc3c[nH]c4ccccc34)CC2)cc1,11,RNA non-binders
c1ccc(-c2ccccn2)cc1,11,RNA non-binders
O=C1c2ccccc2[C@@H](Nc2ccccc2)N1c1cccnc1,11,RNA non-binders
c1cc[nH]c1,11,RNA non-binders
O=C(Nc1ccccc1)c1cc2cc3c(nc2s1)CCCC3,10,RNA non-binders
c1ncncn1,10,RNA non-binders
c1ccc(-n2ccnn2)cc1,10,RNA non-binders
c1ccc(CNCc2cccs2)cc1,10,RNA non-binders
O=C(CC1C(=O)Nc2ccccc21)c1ccccc1,10,RNA non-binders
O=C1CCCC2=C1[C@@]1(C=CO2)C(=O)Nc2ccccc21,10,RNA non-binders
c1ccc(Cn2cc(CNCc3ccco3)c3ccccc32)cc1,10,RNA non-binders
c1ccc(NCc2nc3ccccc3[nH]2)cc1,10,RNA non-binders
c1ccc2c3c([nH]c2c1)CCCC3,10,RNA non-binders
c1ccc(Nc2ncc3ncn(-c4ccccc4)c3n2)cc1,10,RNA non-binders
c1ccc(Nc2ccccn2)cc1,10,RNA non-binders
O=C1C[C@H](Nc2ccc(N3CCOCC3)cc2)C(=O)N1c1ccccc1,10,RNA non-binders
c1ccc(Nc2c3c(nc4nncn24)CCC3)cc1,10,RNA non-binders
c1cc(N2CCCCC2)ncn1,10,RNA non-binders
O=c1[nH]c2ccc(CNc3ccccc3)cc2[nH]1,10,RNA non-binders
c1ccc(Nc2cc(N3CCNCC3)ncn2)cc1,10,RNA non-binders
O=c1c(Nc2ccccc2)c(N2CCCCC2)c1=O,10,RNA non-binders
c1ccc(CNCC[C@H](c2ccccc2)c2ccco2)cc1,10,RNA non-binders
O=S(=O)(c1ccccc1)n1ccc(-c2ccccc2)n1,10,RNA non-binders
c1ccc(Nc2c(-c3ccccc3)[nH]c3ncnn23)cc1,10,RNA non-binders
