CSK_scafold,count,source
C1CCC(CC2CC3CCC(C4CCCCC4)CC3C2)CC1,3,RNA binders
C1CCC(CCCC2CCCCC23CCC2CCCCC23)CC1,3,RNA binders
C1CCC(CCC2CC3CCC(C4CCCCC4)CC3C2)CC1,3,RNA binders
C1CCC(CC2CCC3C4CCCCC4CCC23)CC1,3,RNA binders
C1CCC(C2CC3CCCCC3C2C2CCCCC2)CC1,3,RNA binders
C1CCC(CC2CCC(CCCCCC3CCC4CCCC4C3)CC2)CC1,3,RNA binders
C1CCC(C2CCC2)CC1,3,RNA binders
C1C2CC3CC1CC(C2)C3,3,RNA binders
C1CCC(CCCC2CCC(CCC3CCCC3)CC2)CC1,3,RNA binders
C1CCC(CC2CCC(C3CCCC(CC4CCCCC4)C3)CC2)CC1,3,RNA binders
C1CCC(CC2CCCC(CC3CCC(C4CCCCC4)CC3)C2)CC1,3,RNA binders
C1CCC(C2CCC(C3CCCC3)C2)CC1,3,RNA binders
C1CCC(CC2CCC3CC4CCCCC4CC23)CC1,3,RNA binders
C1CCC(C2CCCC3C4CCCCC4CCC23)CC1,3,RNA binders
C1CCC(CCCC2CC(C3CCCCC3)CC3CCCC23)CC1,3,RNA binders
C1CCC(CC2CCCC(C3CCCCC3)CC2)CC1,3,RNA binders
C1CCC(CCC2CCCC(C3CCCCC3)C2)CC1,3,RNA binders
C1CCC(CCC2CCCC(CCCCC3CCCC3)C2)CC1,3,RNA binders
C1CCC(C2CCC(C3CCCC4CCCCC43)CC2)C1,3,RNA binders
C1CCC(C2CCCC3CCC(C4CCCCC4)C32)CC1,3,RNA binders
C1CCC2CC(C3CCCC3)CCC2C1,3,RNA binders
C1CCC(CC2CCCC2C2CCCCC2)CC1,3,RNA binders
C1CCC(CCCC2C3CCCCC3C3CCCCC32)CC1,3,RNA binders
C1CCC(CC2CC3(CCC(C4CCCCC4)C4CCCC43)C3CCCCC23)CC1,3,RNA binders
C1CCC2CC(CC3C4CCCCC4CC3C3CCCC3)CCC2C1,3,RNA binders
C1CCC(CCCCCC2C3CCCCC3C3CCCCC23)CC1,3,RNA binders
