Murcko_scafold,count,source
c1ccc(NCc2ccc3c(c2)OCO3)cc1,2,RNA binders
c1ccc(-c2ccco2)cc1,2,RNA binders
c1ccc(OC2CCNCC2)cc1,2,RNA binders
O=C1CCCC2=C1[C@]1(C=CO2)C(=O)Nc2ccccc21,2,RNA binders
O=C(CNc1ccnc2nc(-c3cccnc3)nn12)N1CCN(c2ccccc2)CC1,2,RNA binders
O=C1CN(c2ccccc2)C=C1c1nc(-c2ccccc2)cs1,2,RNA binders
N=c1[nH]c2ccccc2n1CCN1CCCCC1,2,RNA binders
O=C1c2ccccc2C(=O)c2ccccc21,2,RNA binders
c1ccc(NCc2cccnc2)cc1,2,RNA binders
c1ccc(Nc2ccnc3nc(-c4ccccc4)nn23)cc1,2,RNA binders
c1ccc(N[C@H](c2ccccc2)c2nnc(-c3ccccc3)o2)cc1,2,RNA binders
C(=C1/Nc2ccccc2S1)\c1cccc[nH+]1,2,RNA binders
c1ccc(-c2cnc3c(-c4ccccc4)cnn3c2)cc1,2,RNA binders
c1ccc(Oc2ccccc2)cc1,2,RNA binders
O=S(=O)(c1ccccc1)N1CCN(c2ccncn2)CC1,2,RNA binders
c1cnccn1,2,RNA binders
c1ccc(-c2ccc3ccccc3n2)cc1,2,RNA binders
c1cncc(CNCc2ccc(OCc3cccs3)cc2)c1,2,RNA binders
c1ccc(Nc2ncnc3sccc23)cc1,2,RNA binders
c1ccc(Cc2ccccc2)cc1,2,RNA binders
O=S(=O)(c1ccccc1)N1CCN(c2ccnc(NC3CCCCC3)n2)CC1,2,RNA binders
O=C(/N=c1/[nH]c2ccccc2s1)c1ccccc1,2,RNA binders
O=S(=O)(c1ccccc1)c1nnn2c1ncc1ccccc12,2,RNA binders
c1ccc(-c2nc3ncccn3n2)cc1,2,RNA binders
c1ccc(Cn2ccc3nc4ccccc4nc32)cc1,2,RNA binders
c1ccc2c(c1)Nc1ccccc1S2,2,RNA binders
O=C1CCCC2=C1[C@H](c1ccccc1)C=CO2,2,RNA binders
O=C(Nc1ccccc1)c1csc2c1CCC2,2,RNA binders
c1csc(-c2ccnc3c2CCCC3)c1,2,RNA binders
O=C(c1ccccc1)c1cc2ccc(-c3ccncc3)nc2s1,2,RNA binders
c1ccc(NCc2cccs2)cc1,2,RNA binders
O=c1c(NCCCN2CCCCC2)c(N2CCCCC2)c1=O,2,RNA binders
c1ccc(-c2ccnc3[nH]ccc23)cc1,2,RNA binders
c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,2,RNA binders
c1ccc(CNCCc2ccc3c(c2)OCO3)cc1,2,RNA binders
c1ccc2c(c1)[nH]c1ccccc12,2,RNA binders
c1ccc(OCc2nncs2)cc1,2,RNA binders
O=C(Nc1ccccc1)c1cc2n(n1)CC[C@@H](c1ccccc1)N2,2,RNA binders
c1ccc(-n2ccnn2)cc1,2,RNA binders
c1ccc(Nc2ccnc3ncnn23)cc1,2,RNA binders
c1ccc(CCNc2ncnc3sc4c(c23)CCCC4)cc1,2,RNA binders
O=C1CNC=C1c1nc2ccccc2[nH]1,2,RNA binders
c1ccc2c3c([nH]c2c1)CCCC3,2,RNA binders
O=C(Nc1ccccc1)c1csc2c1CCCC2,2,RNA binders
c1ccc(Nc2ncccn2)cc1,2,RNA binders
c1ccc(Cc2nncs2)cc1,2,RNA binders
c1ccc(CNCCC2CCOCC2)cc1,2,RNA binders
c1cn[nH]c1,2,RNA binders
O=C1C=CC(=O)c2c1ccc1c2[nH]c2ccccc21,2,RNA binders
O=c1[nH]c(=O)c2c(-c3ccccc3)[nH]cc2[nH]1,2,RNA binders
O=C(Nc1ccccc1)c1cc2cc3c(nc2s1)CCNC3,2,RNA binders
O=c1ncc2[nH]cnc2[nH]1,2,RNA binders
c1ccc(Nc2c(-c3ccco3)nc3ccccn23)cc1,2,RNA binders
c1ccc2c(c1)ccn2CCCn1cccn1,2,RNA binders
O=C(Cn1cc(C(=O)NCc2ccccc2)nn1)Nc1ccccc1,2,RNA binders
c1ccc(CN2CCC(Oc3ccccc3)CC2)cc1,2,RNA binders
c1ccc(CNCc2c[nH]c3ccccc23)cc1,2,RNA binders
c1ccc(-c2cc3ccccc3o2)cc1,2,RNA binders
c1ccc(NCc2ccco2)cc1,2,RNA binders
O=c1[nH]c(=O)c2c(-c3ccccc3)n(-c3ccccc3)cc2[nH]1,2,RNA binders
c1cncc(-c2nc3ncccn3n2)c1,2,RNA binders
c1ccc(CCNCc2cccs2)cc1,2,RNA binders
c1ccc(CNc2ncnc3scc(-c4ccccc4)c23)cc1,2,RNA binders
O=S1(=O)C[C@H](NCc2ccccc2)[C@@H](S(=O)(=O)c2ccccc2)C1,2,RNA binders
c1ccc(Cn2c(-c3cnon3)nc3ccccc32)cc1,2,RNA binders
O=C1S[C@H](Nc2ccccc2)C(=O)N1c1ccccc1,2,RNA binders
c1ccc(Nc2ncnc3ccccc23)cc1,2,RNA binders
C1C2CC3CC1CC(C2)C3,2,RNA binders
c1cc2c(s1)CNCC2,2,RNA binders
c1ccc(-c2cnn3cccnc23)cc1,2,RNA binders
c1ccc(CNCc2ccco2)cc1,2,RNA binders
N=c1[nH]c2c(s1)[C@@H](c1ccccc1)CC(=O)N2,2,RNA binders
c1ccc2ccccc2c1,2,RNA binders
c1ccc(CN2CCCC2)cc1,2,RNA binders
O=c1ccc2ccccc2o1,2,RNA binders
c1ccc(N2CCn3c(nc4ccccc43)C2)cc1,2,RNA binders
c1ccc2c(c1)OCCO2,2,RNA binders
O=C1OCC2=C1[C@]1(C=CN2c2ccccc2)C(=O)Nc2ccccc21,2,RNA binders
c1nc[nH]n1,2,RNA binders
c1ncc2c3c(sc2n1)COCC3,2,RNA binders
O=C1[C@@H]2C3c4ccccc4C(c4ccccc43)[C@@H]2C(=O)N1c1ccccc1,2,RNA binders
c1ccc(CN2CCN(Cc3ccccc3)CC2)cc1,2,RNA binders
O=S(=O)(c1ccc(-c2ncco2)cc1)N1CCOCC1,2,RNA binders
c1ccc2c(c1)nc1cc3c(cn12)CCCC3,2,RNA binders
O=c1occc2c1[C@H](c1ccccc1)C=CO2,2,RNA binders
c1ccc2c(Nc3ccc(N4CCOCC4)cc3)ccnc2c1,2,RNA binders
C1=COc2ccccc2C=C1,2,RNA binders
O=S1(=O)C=C[C@@H](Nc2ccccc2)C1,2,RNA binders
c1cnc(Nc2ncc3ccccc3n2)nc1,2,RNA binders
S=C(Nc1ccccn1)Nc1ccccn1,2,RNA binders
c1ccc(CCNc2cc(-c3ccccc3)nc3nncn23)cc1,2,RNA binders
c1cc2c(s1)CCCCC2,2,RNA binders
c1ccc(Nc2ncnc3c2CCC3)cc1,2,RNA binders
O=S(=O)(c1ccccc1)c1cc[nH]c1,2,RNA binders
c1ccc(COc2ccccc2)cc1,2,RNA binders
C1=C[C@@H](c2ccccc2)c2c(n[nH]c2-c2ccccc2)O1,2,RNA binders
c1ccc(CSc2ncc3c4c(sc3n2)COCC4)cc1,2,RNA binders
c1cnc2sccc2c1,2,RNA binders
c1ccc2c(-c3nc4ccccc4o3)cccc2c1,2,RNA binders
c1ccc(CN2CCC(N3CCNCC3)CC2)cc1,2,RNA binders
O=c1[nH]c2ccc(COc3ccccc3)cc2[nH]1,2,RNA binders
O=C(OCc1ccccc1)C1=COC=C[C@@]12C(=O)Nc1ccccc12,2,RNA binders
O=C1CCCC2=C1[C@H](c1ccc3c(c1)OCO3)C=CO2,2,RNA binders
c1ccc(CSc2nncs2)cc1,2,RNA binders
c1ccc(CNc2ncnc3ccccc23)cc1,2,RNA binders
O=C(NCCc1ccccc1)c1cnn(-c2ccccc2)n1,2,RNA binders
O=C(NCCNc1cccnc1)Nc1ccccc1,1,RNA binders
c1ccc(-c2cc3nccc(N4CCNCC4)n3n2)cc1,1,RNA binders
c1ccc(CNc2ncc(-c3ccc4c(c3)OCO4)[nH]2)cc1,1,RNA binders
O=c1ccc2ccc(CN3CCC(N4CCCCC4)CC3)cc2o1,1,RNA binders
c1ccc(C2(CCNCCN3CCOCC3)CCOCC2)cc1,1,RNA binders
c1ccc(CN2CCC(Nc3ccccc3)CC2)cc1,1,RNA binders
c1ccc(C2(CCNCc3ccc4c(c3)OCO4)CCOCC2)cc1,1,RNA binders
