CSK_scafold,count,source
C1CCC(CCCC2CCCC3CCCCC32)CC1,38,RNA non-binders
C1CCC(CCCCC2C3CCCCC3CC2C2CCC(C3CCCCC3)C2)CC1,38,RNA non-binders
C1CCC(CC(C2CCCCC2)C2CCC(C3CCCCC3)C2)CC1,38,RNA non-binders
C1CCC(CC2CCC3CCCCC3C2)C1,38,RNA non-binders
C1CCC(C2CC3CCCCC3C2)C1,37,RNA non-binders
C1CCC(CCCC2CCC(CC3CCCCC3)C2)CC1,37,RNA non-binders
C1CCC2C(C1)CCCC21CCC2CCCCC21,36,RNA non-binders
C1CCC(CCC2CCC(CC3CCCCC3)CC2)CC1,36,RNA non-binders
C1CCC(CCCC2CCC3CCCC3C2)CC1,35,RNA non-binders
C1CCC(CCC2CCCCC2CC2CCCCC2)CC1,34,RNA non-binders
C1CCC(CCCC2CCCC2)C1,34,RNA non-binders
C1CCC2CC3CCCC3CC2C1,34,RNA non-binders
C1CCC(CCCC2CCC3CCCCC3C2)C1,33,RNA non-binders
C1CCC(CC2CCC(CC3CCCCC3)C2)CC1,33,RNA non-binders
C1CCC(C2CCC(C3CCCCC3)CC2)CC1,33,RNA non-binders
C1CCC(CCCCC2CCC(C3CCCCC3)CC2)CC1,33,RNA non-binders
C1CCC2C(C1)CCC2C1CCCC1,33,RNA non-binders
C1CCC(C2CCC(CCC3CCCC3)C2)CC1,32,RNA non-binders
C1CCC(CCCCC2CCC3CCCC3C2)CC1,32,RNA non-binders
C1CCCC(CC2CCCCC2)CC1,32,RNA non-binders
C1CCC(CC2CCC(CC3CCCCC3)CC2)CC1,31,RNA non-binders
C1CCC(CCCC(CC2CCCCC2)C2CCCCC2)CC1,30,RNA non-binders
C1CCC(CC2CCC(C3CCCC3)CC2)C1,29,RNA non-binders
C1CCC(CCC2CCC(C3CCCC3)C2)CC1,29,RNA non-binders
C1CCC(CC2CCCC3C4CCCCC4CC23)CC1,28,RNA non-binders
C1CCC2C(C1)CCC1CCCC12,28,RNA non-binders
C(CCCC1CCCCC1)CCCC1CCCC1,28,RNA non-binders
C1CCC(CC2C3CCCC3CC2C2CCCCC2)CC1,28,RNA non-binders
C1CCC(CCCC2CCCC(C3CCCCC3)C2)CC1,27,RNA non-binders
