CSK_scafold,count,source
C1CCC(CCC2CCC(CC3CCCC(C4CCCCC4)C3)CC2)CC1,31,Zinc dark matter
C1CCC(CC2CCC(CC3CCCCC3)C2)CC1,31,Zinc dark matter
C1CCC(CCC2CCCC3CCCC32)CC1,31,Zinc dark matter
C1CCC(C2CCC(CC3CCCC3)CC2)CC1,31,Zinc dark matter
C1CCC(C2CC2)CC1,30,Zinc dark matter
C1CCC(C2CCCC(CCC3CCCC3)C2)CC1,30,Zinc dark matter
C1CCC(CCCCC2CCC(CCCC3CCCCC3)C2)CC1,30,Zinc dark matter
C1CCC(C2CC3CCCCC3C3CCCC23)CC1,30,Zinc dark matter
C1CCC(CCCCC2CC3CCCCC3C2)C1,30,Zinc dark matter
C1CCC(C2CCC3C(C4CCCCC4)CCCC23)CC1,29,Zinc dark matter
C1CCC(CCCCC2CCC(CCC3CCCCC3)CC2)CC1,29,Zinc dark matter
C1CCC(C2CCCC(C3CCCC3)C2)CC1,29,Zinc dark matter
C1CCC(CC2CCCC3CCCCC32)CC1,29,Zinc dark matter
C1CCC(CCC2CCCC(C3CCCC3)C2)CC1,29,Zinc dark matter
C1CC2CCCC2C1,29,Zinc dark matter
C1CCC(CCCCCC2CCC3CCCC3C2)CC1,28,Zinc dark matter
C1CCC(CCC2CCC(C3CCCC3)CC2)CC1,28,Zinc dark matter
C1CCC(CCCCC2CCCC(C3CCCCC3)C2)CC1,28,Zinc dark matter
C1CCC(C2CCC(C3CCCC3)CC2)CC1,27,Zinc dark matter
C1CCC(CCCCC2CCC3CCCCC23)CC1,27,Zinc dark matter
C1CCC(CCCCC(CC2CCCCC2)C2CCCCC2)CC1,27,Zinc dark matter
C(CCCCC1CCCCC1)CCCC1CCCCC1,27,Zinc dark matter
C1CCC(CCC2CC2)CC1,26,Zinc dark matter
C1CCC(CCC2CCC(C3CCCCC3)CC2)CC1,26,Zinc dark matter
C1CCC(CCCCCC2CC3CCCCC3C2)CC1,25,Zinc dark matter
C1CCC(CC2CCCC(CC3CCCCC3)C2)CC1,25,Zinc dark matter
C1CCC(CCCC2CC3CCCCC3C2)C1,25,Zinc dark matter
C1CCC(CCCC2CCC3CCCCC32)C1,25,Zinc dark matter
C1CCC(CCCC2CCCC(C3CCCCC3)C2)CC1,24,Zinc dark matter
C1CCC2C(C1)CCC1CCCC12,24,Zinc dark matter
C1CCC(C2CCCC(CC3CCCC3)C2)CC1,24,Zinc dark matter
C1CCC(C2CC3CCCC3C(C3CCCCC3)C2)CC1,23,Zinc dark matter
C1CCC(CCC2CC3CCCCC3C2)C1,23,Zinc dark matter
C1CCC(CCC2CCCC3CCCCC32)C1,23,Zinc dark matter
C1CCC(CCCCC2CCC3CCCCC3C2)C1,22,Zinc dark matter
C1CCC2CCCCC2CC1,22,Zinc dark matter
C1CCC(CCCCCC2CCC3CCCCC23)CC1,22,Zinc dark matter
C1CCC(C2CC3C4CCC(C4)C3C2)CC1,22,Zinc dark matter
C1CCC(CCCCCC(CCC2CCCCC2)CC2CCCCC2)CC1,22,Zinc dark matter
C1CCC(CCCC2CCC(CCC3CCCCC3)C2)CC1,22,Zinc dark matter
C1CCC(CCC2CC3CCCCC3CC2C2CCCCC2)CC1,22,Zinc dark matter
C1CCC(C2CCC(C3CCCC3C3CCCCC3)C2)CC1,22,Zinc dark matter
C1CCC(CCCC2CCC(C3CCCC3)C2)CC1,22,Zinc dark matter
C1CCC(CC2CCCC(CC3CCCC3)C2)CC1,21,Zinc dark matter
