Murcko_scafold,count,source
O=C(Cc1ccccc1)NCc1ccccc1,9,Zinc dark matter
O=c1c2ccccc2nc(-c2cc3ccccc3o2)n1N=Cc1ccc(OCc2ccccc2)cc1,8,Zinc dark matter
c1ccc(N2CCCCC2)nc1,8,Zinc dark matter
c1cnc(N2CCCCC2)nc1,8,Zinc dark matter
O=C1CCCCN1,8,Zinc dark matter
O=C(CCSc1ccccc1)NCc1ccccc1,8,Zinc dark matter
O=C1N[C@H](c2ccccc2)c2c1oc1ccccc1c2=O,8,Zinc dark matter
C1=C[C@H]2c3ccccc3N[C@@H](c3ccccc3)[C@H]2C1,8,Zinc dark matter
c1ccc(-c2ncon2)cc1,8,Zinc dark matter
O=C1CCCN1,8,Zinc dark matter
O=C(c1ccccc1)N1CCCC1,8,Zinc dark matter
c1ccc2c(c1)CCN2,8,Zinc dark matter
S=C1N[C@H](c2ccccn2)[C@@H](c2ccn(-c3ccccc3)c2)N1c1ccccc1,8,Zinc dark matter
C1=Cc2ccccc2NC1,8,Zinc dark matter
c1ccc(-n2cnnc2)cc1,8,Zinc dark matter
c1ccc(Cn2cccn2)cc1,8,Zinc dark matter
O=C1C[C@@H](c2ccccc2)c2scc(-c3ccccc3)c2N1,8,Zinc dark matter
c1ccc2c(c1)CCO2,8,Zinc dark matter
c1nc[nH]n1,7,Zinc dark matter
C(=N/Nc1ccccc1)\c1ccccc1,7,Zinc dark matter
O=C1CCCC2=C1C(c1ccccc1)C1=C(CCCC1=O)N2,7,Zinc dark matter
c1ccc(-c2cc[nH]n2)cc1,7,Zinc dark matter
C(=N/c1ccccc1)\c1ccc(OCc2ccccc2)cc1,7,Zinc dark matter
O=C1NC(=S)S/C1=C\c1cn(-c2ccccc2)nc1-c1ccccc1,7,Zinc dark matter
c1ccc(CN2CCOCC2)cc1,7,Zinc dark matter
O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1ccccc1,7,Zinc dark matter
O=S(=O)(NC1CCCCC1)c1ccccc1,7,Zinc dark matter
O=C(Cn1nnc2ccccc21)N(Cc1ccccc1)c1ccccc1,7,Zinc dark matter
O=C(NCc1ccccc1)c1cccs1,7,Zinc dark matter
O=C1/C(=C\c2ccccc2)C=CN1c1ccccc1,7,Zinc dark matter
c1ncon1,7,Zinc dark matter
C1CCC1,7,Zinc dark matter
O=C(COc1ccc(/C=C2\C(=O)NC(=O)N(c3ccccc3)C2=O)cc1)Nc1ccccc1,7,Zinc dark matter
C1C2CC3CC1CC(C2)C3,7,Zinc dark matter
c1ccc(CCc2ccccc2)cc1,7,Zinc dark matter
c1ccc(Oc2ccccc2)cc1,7,Zinc dark matter
c1ccc(-c2nnc[nH]2)cc1,7,Zinc dark matter
c1ccc(CNCc2cn[nH]c2)cc1,7,Zinc dark matter
S=C1N[C@H](c2ccccn2)[C@@H](c2cccn2-c2ccccc2)N1c1ccccc1,7,Zinc dark matter
S=C1N[C@H](c2ccccn2)[C@H](c2ccn(-c3ccccc3)c2)N1c1ccccc1,7,Zinc dark matter
c1ccc([C@@H]2CCCN2)cc1,7,Zinc dark matter
O=C(COc1ccccc1)NCCOc1ccccc1,7,Zinc dark matter
C1CC2CCC1C2,7,Zinc dark matter
O=c1c2ccccc2nc(C2CCCCC2)n1N=Cc1ccccc1,7,Zinc dark matter
c1ccnnc1,7,Zinc dark matter
O=C1NC(=O)/C(=C\c2ccccc2)S1,7,Zinc dark matter
O=C(c1ccccc1)N1CCCCC1,7,Zinc dark matter
O=C(N/N=C\c1ccccc1)c1ccc(COc2ccc(-n3cccc3)cc2)o1,6,Zinc dark matter
c1ccc2c(c1)CCCC2,6,Zinc dark matter
O=C(CNc1ccc2c(c1)OCO2)NCc1ccccc1,6,Zinc dark matter
O=C(CN(Cc1ccccc1)C(=O)CN(c1ccccc1)S(=O)(=O)c1ccccc1)NC1CCCCC1,6,Zinc dark matter
O=C(CN(Cc1ccccc1)C(=O)CN(c1ccccc1)S(=O)(=O)c1ccccc1)NC1CCCC1,6,Zinc dark matter
c1ccc2c(c1)CCC2,6,Zinc dark matter
O=C(COc1ccc(/C=C2/C(=O)NC(=O)N(c3ccccc3)C2=O)cc1)Nc1ccccc1,6,Zinc dark matter
c1ccc(-c2nccs2)cc1,6,Zinc dark matter
c1ccc2c(c1)CCCN2,6,Zinc dark matter
O=C(CNc1ccccc1)Nc1nncs1,6,Zinc dark matter
c1ccc(-c2ccncn2)cc1,6,Zinc dark matter
O=C(CN(Cc1ccccc1)C(=O)CNc1ccccc1)NC1CCCC1,6,Zinc dark matter
O=C(/N=c1/[nH]c(-c2ccccc2)cs1)c1ccccc1,6,Zinc dark matter
O=C1CNC(=O)N1Cc1ccccc1,6,Zinc dark matter
O=C1[C@H]2C3c4ccccc4C(c4ccccc43)[C@@H]2C(=O)N1c1ccccc1,6,Zinc dark matter
O=C1C[C@H](c2ccccc2)C=C(SCC(=O)Nc2ccccc2)N1,6,Zinc dark matter
O=c1ccc2ccccc2o1,6,Zinc dark matter
O=C1/C(=C/c2ccccc2)C=NN1c1ccccc1,6,Zinc dark matter
O=C1CCCO1,6,Zinc dark matter
c1ccc(COc2ccc(CSc3nncn3-c3ccccc3)cc2)cc1,6,Zinc dark matter
S=C1N[C@@H](c2ccccn2)[C@@H](c2cccn2-c2ccccc2)N1c1ccccc1,6,Zinc dark matter
c1ccc(CSc2nnc(-c3ccccc3)[nH]2)cc1,6,Zinc dark matter
C(=N/c1ccccc1)\c1ccn(-c2ccccc2)c1,6,Zinc dark matter
S=C1N[C@H](c2ccccn2)[C@@H](c2ccc(-c3ccccc3)o2)N1c1ccccc1,6,Zinc dark matter
c1ccc(CN2CCCC2)cc1,6,Zinc dark matter
O=C(/N=c1/[nH]c2ccccc2s1)c1ccccc1,6,Zinc dark matter
O=C(COc1ccccc1)N1CCCCC1,6,Zinc dark matter
c1ccc(COc2ccc(CNc3ccccc3)cc2)cc1,6,Zinc dark matter
O=C1CS[C@@H](c2ccccc2)N1c1ccccc1,6,Zinc dark matter
O=C1N[C@@H](c2ccccc2)C(=Cc2ccccc2)C1=O,6,Zinc dark matter
O=c1/c(=C/c2ccc(OCc3ccccc3)cc2)sc2n1[C@@H](c1ccccc1)C=CN=2,6,Zinc dark matter
O=S(=O)(c1ccccc1)[C@@H]1C[C@@H]1c1ccccc1,6,Zinc dark matter
c1ccc(-n2nccn2)cc1,6,Zinc dark matter
S=C1N[C@@H](c2ccccn2)[C@H](c2cccn2-c2ccccc2)N1c1ccccc1,6,Zinc dark matter
O=C(Nc1ccccc1)C(=O)Nn1c(C(=O)Nc2ccccc2)cc2ccccc21,6,Zinc dark matter
S=C1N[C@H](c2ccccn2)[C@H](c2cccn2-c2ccccc2)N1c1ccccc1,6,Zinc dark matter
c1ccc(C2CCCCC2)cc1,6,Zinc dark matter
S=C1N[C@@H](c2ccccn2)[C@@H](c2ccn(-c3ccccc3)c2)N1c1ccccc1,6,Zinc dark matter
c1ccc(CN2CCCCC2)cc1,6,Zinc dark matter
O=C(CSc1nnc[nH]1)Nc1ccccc1,6,Zinc dark matter
c1ccc2cnccc2c1,6,Zinc dark matter
c1ccc(-c2ccccn2)cc1,6,Zinc dark matter
O=C1NC(=O)N(c2ccccc2)C(=O)/C1=C\c1ccccc1,6,Zinc dark matter
c1ccc(/N=N/c2ccccc2)cc1,6,Zinc dark matter
O=C1NC(=S)N(c2ccccc2)C(=O)/C1=C/c1ccc(OCc2ccccc2)cc1,6,Zinc dark matter
O=c1cc[nH]c2ccccc12,6,Zinc dark matter
O=C(CN1CCCCC1)Nc1ccccc1,6,Zinc dark matter
O=c1c2ccccc2nc(-c2ccccc2)n1N=Cc1ccc(OCc2ccccc2)cc1,6,Zinc dark matter
c1ccc(-c2ccn[nH]2)cc1,6,Zinc dark matter
c1ccc(OC[C@@H]2NCCc3sccc32)cc1,6,Zinc dark matter
N=C1S[C@@H]2CS(=O)(=O)C[C@H]2N1c1ccccc1,5,Zinc dark matter
O=C1NC(=O)/C(=C\c2ccccc2)N1,5,Zinc dark matter
O=C(COc1ccccc1)Nc1nncs1,5,Zinc dark matter
O=C(c1ccccc1)N1CCNCC1,5,Zinc dark matter
O=C(Oc1ccccc1)c1ccccc1,5,Zinc dark matter
c1cocn1,5,Zinc dark matter
O=C(CNc1ccccc1)NN=Cc1ccccc1,5,Zinc dark matter
O=C(C=Cc1ccc(OCC(=O)Nc2ccccc2)cc1)Nc1ccccc1,5,Zinc dark matter
C(=N/Nc1ccccn1)\c1ccccc1,5,Zinc dark matter
c1cnc2[nH]ccc2c1,5,Zinc dark matter
O=C(CCCOc1ccccc1)NCc1ccccc1,5,Zinc dark matter
c1ccc(Nc2ccccc2)cc1,5,Zinc dark matter
C(=Cc1nc(-c2ccccc2)cs1)c1ccccc1,5,Zinc dark matter
O=C1/C(=C/c2ccccc2)C=C(c2ccccc2)N1c1ccccc1,5,Zinc dark matter
O=c1/c(=C/c2ccccc2OCc2ccccc2)sc2n1[C@H](c1ccccc1)C=CN=2,5,Zinc dark matter
O=C(C=Cc1ccc(-c2ccccc2)o1)Nc1ccccc1,5,Zinc dark matter
S=C1N[C@@H](c2ccccn2)[C@H](c2ccc(-c3ccccc3)o2)N1c1ccccc1,5,Zinc dark matter
O=C(CN(Cc1ccccc1)C(=O)CCCNc1ccccc1)NC1CCCCC1,5,Zinc dark matter
c1cc[nH+]cc1,5,Zinc dark matter
N=C1S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccccc1,5,Zinc dark matter
O=C(Nc1ccccc1)N1CCCC1,5,Zinc dark matter
c1ccc(CNCCn2cccn2)cc1,5,Zinc dark matter
S=C(NCCOc1ccccc1)Nc1ccccc1,5,Zinc dark matter
c1ccc(CCCc2ccccc2)cc1,5,Zinc dark matter
c1ccc(Cn2cccc2)cc1,5,Zinc dark matter
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,5,Zinc dark matter
c1ccc2c3c([nH]c2c1)CCCC3,5,Zinc dark matter
C1CO1,5,Zinc dark matter
O=c1/c(=C\c2ccccc2)sc2n1[C@@H](c1ccccc1)C=CN=2,5,Zinc dark matter
C(=NNc1ccccc1)c1ccccc1,5,Zinc dark matter
O=S(=O)(Nc1ccccc1)c1ccc2c(c1)[C@H]1C=CC[C@H]1[C@@H](c1ccccc1)N2,5,Zinc dark matter
c1ccc(COc2ccc3ccccc3c2)cc1,5,Zinc dark matter
O=C(NCc1ccccc1)C1CC1,5,Zinc dark matter
c1ccc(-c2nc[nH]n2)cc1,5,Zinc dark matter
C1CC2(CCOCC2)CN1,5,Zinc dark matter
C1=CCCC1,5,Zinc dark matter
c1ccc(CSc2nncn2-c2ccccc2)cc1,5,Zinc dark matter
c1cnc2ccnn2c1,5,Zinc dark matter
O=C1NC(=O)C(c2ccccc2)N1,5,Zinc dark matter
O=C(CNc1ccccc1)N/N=C/c1ccn(-c2ccccc2)c1,5,Zinc dark matter
c1ccc(CNC2CCCCC2)cc1,5,Zinc dark matter
N=C1/C(=C/c2ccc(OCCOc3ccccc3)cc2)C(=O)N=C2SC=NN12,5,Zinc dark matter
O=C(CSc1nnnn1-c1ccccc1)Nc1ccccc1,5,Zinc dark matter
O=C1C[C@H](C(=O)Nc2ccccc2)c2c(nc(N3CCCCC3)[nH]c2=O)N1,5,Zinc dark matter
c1cnccn1,5,Zinc dark matter
O=C(C[C@H]1S/C(=N\c2ccccc2)NC1=O)Nc1ccccc1,5,Zinc dark matter
O=C(Nc1ccccc1)C1CC1,5,Zinc dark matter
O=C(NCc1ccccc1)c1ccco1,5,Zinc dark matter
O=C1C[C@H](c2ccccc2)c2scc(-c3ccccc3)c2N1,5,Zinc dark matter
O=C(CNc1ccccc1)NCCc1ccccc1,5,Zinc dark matter
O=C(COC(=O)[C@H]1CC(=O)N(NC(=O)c2ccccc2)C1)Nc1ccccc1,5,Zinc dark matter
c1ccc(-c2ccon2)cc1,5,Zinc dark matter
c1ccc(CNC2CC2)cc1,5,Zinc dark matter
c1cnc2ncnn2c1,5,Zinc dark matter
O=C(NC1CCCC1)[C@H](Cc1ccccc1)N(Cc1ccccc1)C(=O)CN(c1ccccc1)S(=O)(=O)c1ccccc1,5,Zinc dark matter
O=C(CSc1nnc(COc2ccccc2)[nH]1)Nc1ccccc1,5,Zinc dark matter
O=C(CN1C(=O)CNC1=O)Nc1ccccc1,5,Zinc dark matter
c1ccc(-n2ccnc2)cc1,5,Zinc dark matter
c1ccc2c(c1)CCN(c1ccncn1)C2,5,Zinc dark matter
S=C1N[C@@H](c2ccccn2)[C@H](c2ccn(-c3ccccc3)c2)N1c1ccccc1,5,Zinc dark matter
O=C1NN(c2ccccc2)C(=O)/C1=C\c1ccccc1,5,Zinc dark matter
O=C1N/C(=C/c2ccc(OCc3ccccc3)cc2)C(=O)N1c1ccccc1,5,Zinc dark matter
c1ccc(-c2nc3ccccc3o2)cc1,5,Zinc dark matter
c1ccc(Oc2cc(-c3ccccc3)n[nH]2)cc1,5,Zinc dark matter
c1ccc(-c2cnco2)cc1,5,Zinc dark matter
O=c1[nH]cnc2c1cnn2-c1ccccc1,4,Zinc dark matter
O=C(Cc1ccccc1)c1ccccc1,4,Zinc dark matter
O=C(CSc1nnc(-c2ccccc2)n1-c1ccccc1)Nc1ccccc1,4,Zinc dark matter
C1=Cc2ccccc2OC1,4,Zinc dark matter
O=C(NCc1nc(-c2ccccc2)no1)c1ccccc1,4,Zinc dark matter
O=C1C[C@@H](c2ccccc2)CC2=C1[C@@H](c1ccccc1)Nc1ccccc1N2,4,Zinc dark matter
O=C(CSC1=NC(=O)/C(=C\c2ccc(OCc3ccccc3)cc2)C(=O)N1)NC(c1ccccc1)c1ccccc1,4,Zinc dark matter
c1ccc(CSc2ccccc2)cc1,4,Zinc dark matter
c1ccc([C@H]2CCCN2)cc1,4,Zinc dark matter
O=C1N/C(=C/c2ccccc2)C(=O)N1c1ccccc1,4,Zinc dark matter
c1cc2c(s1)CCCC2,4,Zinc dark matter
c1ccc([C@H]2CCCNC2)cc1,4,Zinc dark matter
C1CNC1,4,Zinc dark matter
O=S(=O)(c1ccccc1)N1CCCCC1,4,Zinc dark matter
O=C(Nc1ccccc1)N1CCOCC1,4,Zinc dark matter
O=c1c2[nH]c3ccccc3c2ncn1/N=C/c1ccccc1,4,Zinc dark matter
c1ccc(CNCc2cccs2)cc1,4,Zinc dark matter
