Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
XGBoost,0.8904675794368381,0.8988126649076518,0.8800051666236115,0.8893094896227647,0.956514682266996
LightGBM,0.8819426504779126,0.8833290121856365,0.8801343322138983,0.881728778467909,0.9519322318098912
Random Forest,0.8688969258589512,0.8759873617693523,0.8594678377680186,0.8676489763984874,0.9458012791230701
