Feature,Importance
Bit 1591,0.0007071548
Bit 1894,0.000705198
Bit 1083,0.00070454064
Bit 367,0.00070356246
Bit 1960,0.0007024214
Bit 1315,0.00070048013
Bit 166,0.0006987495
Bit 1698,0.0006979552
Bit 866,0.00069437164
Bit 1105,0.0006937355
Bit 769,0.00069370505
Bit 1986,0.00069331966
Bit 743,0.0006917649
Bit 714,0.000690999
Bit 1558,0.0006887835
Bit 90,0.00068833167
Bit 1414,0.0006880919
Bit 46,0.00068807695
Bit 1339,0.0006867373
Bit 771,0.0006864389
Bit 885,0.000685256
Bit 324,0.00068493927
Bit 1920,0.00068223715
Bit 186,0.00068161596
Bit 1456,0.00068157824
Bit 1051,0.00068106275
Bit 888,0.0006809494
Bit 1990,0.0006781491
Bit 1132,0.000677986
Bit 1695,0.0006774861
Bit 1543,0.00067690626
Bit 582,0.00067627465
Bit 462,0.00067608623
Bit 1778,0.0006758803
Bit 307,0.0006755299
Bit 505,0.00067477545
Bit 1281,0.00067383744
Bit 1575,0.00067325355
Bit 1534,0.0006730917
Bit 283,0.0006721206
Bit 1800,0.00067205675
Bit 358,0.00067157793
Bit 18,0.0006697461
Bit 676,0.00066681
Bit 1834,0.00066680415
Bit 1114,0.00066677865
Bit 113,0.0006657756
Bit 917,0.00066562905
Bit 862,0.0006631347
Bit 1437,0.0006630866
Bit 156,0.0006597672
Bit 1796,0.00065924623
Bit 1687,0.0006585602
Bit 801,0.00065819966
Bit 1843,0.00065803033
Bit 882,0.0006574374
Bit 249,0.00065594976
Bit 1006,0.00065575435
Bit 724,0.0006550964
Bit 1656,0.00065494695
Bit 832,0.00065364287
Bit 76,0.00065178407
Bit 673,0.0006502537
Bit 735,0.00065008464
Bit 343,0.0006494748
Bit 454,0.0006491891
Bit 886,0.0006485889
Bit 1562,0.0006479809
Bit 608,0.0006474054
Bit 1802,0.0006466367
Bit 1870,0.0006465612
Bit 1929,0.00064541394
Bit 147,0.0006452263
Bit 35,0.0006434905
Bit 985,0.0006431089
Bit 1208,0.00064287416
Bit 445,0.0006418455
Bit 1211,0.0006418158
Bit 257,0.0006403022
Bit 1494,0.000640095
Bit 1585,0.00063947507
Bit 604,0.00063873857
Bit 950,0.0006381711
Bit 721,0.00063784624
Bit 266,0.00063779263
Bit 780,0.00063681306
Bit 1775,0.0006366732
Bit 1733,0.00063527946
Bit 1751,0.00063516956
Bit 1511,0.0006343
Bit 0,0.0006342381
Bit 1723,0.000633899
Bit 1214,0.00063310564
Bit 982,0.0006325789
Bit 659,0.00063207775
Bit 1859,0.0006317639
Bit 1794,0.00063093164
Bit 1125,0.0006307931
Bit 1291,0.0006301938
Bit 1363,0.0006301844
Bit 232,0.000629836
Bit 351,0.0006293574
Bit 497,0.0006291641
Bit 1648,0.00062664767
Bit 1787,0.0006265555
Bit 1616,0.00062584406
Bit 741,0.0006253969
Bit 1969,0.0006249986
Bit 1336,0.0006249213
Bit 314,0.00062347803
Bit 2030,0.00062259973
Bit 1190,0.0006223806
Bit 2029,0.00062227796
Bit 713,0.0006222262
Bit 1322,0.0006214836
Bit 1486,0.00062115584
Bit 1674,0.00062114326
Bit 217,0.0006204444
Bit 876,0.0006196184
Bit 385,0.0006194599
Bit 518,0.00061771896
Bit 1995,0.0006167536
Bit 422,0.00061345845
Bit 127,0.0006116514
Bit 910,0.000610738
Bit 189,0.000610664
Bit 1217,0.00060961075
Bit 1852,0.0006079132
Bit 916,0.0006077353
Bit 1694,0.0006063841
Bit 70,0.00060437626
Bit 1703,0.00060433714
Bit 47,0.0006041321
Bit 942,0.0006036873
Bit 488,0.0006029772
Bit 1887,0.00060193945
Bit 1097,0.0006015363
Bit 629,0.00060082297
Bit 1317,0.0006005328
Bit 1221,0.00060039485
Bit 282,0.0006003887
Bit 1238,0.0005992047
Bit 1933,0.00059775624
Bit 961,0.0005975015
Bit 1316,0.0005970987
Bit 744,0.00059655024
Bit 212,0.00059552974
Bit 210,0.0005945784
Bit 1515,0.0005936529
Bit 465,0.0005936368
Bit 823,0.00059350644
Bit 1021,0.0005932951
Bit 1335,0.0005931375
Bit 1418,0.0005914104
Bit 1376,0.0005911101
Bit 205,0.0005906455
Bit 164,0.0005905648
Bit 1415,0.0005903151
Bit 1739,0.00059017993
Bit 306,0.000589191
Bit 1156,0.00058870466
Bit 644,0.00058867683
Bit 1732,0.00058755523
Bit 969,0.000587541
Bit 1000,0.00058717886
Bit 1862,0.00058707315
Bit 1350,0.00058547535
Bit 411,0.0005850128
Bit 742,0.00058480515
Bit 425,0.0005837513
Bit 1771,0.00058374106
Bit 491,0.000583289
Bit 1235,0.00058298017
Bit 275,0.0005826446
Bit 1129,0.0005819339
Bit 620,0.0005817676
Bit 650,0.00058170874
Bit 923,0.0005805283
Bit 89,0.0005801149
Bit 654,0.00057942973
Bit 1660,0.0005791711
Bit 56,0.0005789401
Bit 957,0.00057869323
Bit 346,0.00057860644
Bit 356,0.0005772675
Bit 21,0.00057615596
Bit 1357,0.0005741359
Bit 1168,0.00057412393
Bit 305,0.00057404756
Bit 1613,0.0005739062
Bit 111,0.0005734977
Bit 409,0.0005734185
Bit 137,0.00057320285
Bit 973,0.0005722934
Bit 227,0.0005720487
Bit 1433,0.0005716294
Bit 894,0.00057132146
Bit 1379,0.0005706388
Bit 1950,0.00057017896
Bit 95,0.00056987477
Bit 316,0.0005698434
Bit 1758,0.0005698326
Bit 1091,0.0005697432
Bit 1466,0.000568843
Bit 1195,0.0005686391
Bit 1193,0.0005686082
Bit 1628,0.0005682857
Bit 1555,0.00056810566
Bit 1094,0.00056807784
Bit 1204,0.00056746183
Bit 1280,0.0005670826
Bit 536,0.0005668444
Bit 1240,0.0005664754
Bit 1548,0.0005655568
Bit 1253,0.0005654354
Bit 1957,0.00056531304
Bit 146,0.00056444545
Bit 1811,0.0005644212
Bit 1330,0.0005632293
Bit 1538,0.0005631934
Bit 1992,0.000562969
Bit 1413,0.0005628333
Bit 927,0.0005623038
Bit 1448,0.0005587098
Bit 437,0.0005583397
Bit 244,0.00055833627
Bit 816,0.0005582364
Bit 511,0.00055814633
Bit 1061,0.00055765634
Bit 1271,0.0005569019
Bit 1989,0.0005568667
Bit 300,0.00055685674
Bit 420,0.0005562539
Bit 768,0.0005561004
Bit 549,0.000555557
Bit 1646,0.0005540956
Bit 412,0.0005533393
Bit 898,0.00055322686
Bit 20,0.0005507392
Bit 1115,0.0005500337
Bit 1951,0.0005500178
Bit 930,0.00054995203
Bit 1276,0.00054928067
Bit 966,0.00054903154
Bit 772,0.0005487007
Bit 1,0.0005485333
Bit 1337,0.00054847926
Bit 1259,0.0005481761
Bit 1982,0.0005480589
Bit 1602,0.0005480191
Bit 1531,0.0005469699
Bit 1662,0.0005466267
Bit 1996,0.0005463154
Bit 565,0.00054623414
Bit 1943,0.0005462308
Bit 1782,0.0005450029
Bit 1003,0.0005449765
Bit 945,0.00054439064
Bit 727,0.0005435667
Bit 540,0.0005433556
Bit 1187,0.0005432349
Bit 1170,0.0005430458
Bit 1222,0.00054297503
Bit 1400,0.00054278923
Bit 729,0.0005426777
Bit 612,0.0005425449
Bit 1637,0.000542123
Bit 296,0.0005412813
Bit 209,0.00054111565
Bit 1704,0.00054104807
Bit 921,0.0005410449
