Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
LightGBM,0.8840764331210191,0.8868894601542416,0.8801020408163265,0.88348271446863,0.9498234408267123
XGBoost,0.8649681528662421,0.8743455497382199,0.8520408163265306,0.8630490956072352,0.9413719686347821
Random Forest,0.8598726114649682,0.8542713567839196,0.8673469387755102,0.8607594936708861,0.9498753699953264
